3.333309290686347071e-01
3.333309298201798110e-01
3.333381411111854264e-01
# ;
9.828452317726681375e-01
8.039634906825677413e-03
9.115133320506296072e-03
# ;
9.705513265460600225e-01
9.283222589429717536e-03
2.016545086451038485e-02
# ;
9.986087387558021389e-01
6.901316036159401866e-04
7.011296405820230697e-04
# ;
9.970996846136078728e-01
1.450157693225227751e-03
1.450157693166992867e-03
# ;
9.978810630171029983e-01
1.163177088445959805e-03
9.557598944511578156e-04
# ;
9.970550846725745320e-01
1.523146811917226772e-03
1.421768515508260982e-03
# ;
9.982880468784488537e-01
8.512752847143879951e-04
8.606778368367742601e-04
# ;
9.981276871895655711e-01
6.847230871255423866e-04
1.187589723308778936e-03
# ;
9.982161001078436735e-01
8.908256558131287745e-04
8.930742363430984069e-04
# ;
9.970058770656553548e-01
1.497061467149575368e-03
1.497061467195019918e-03
# ;
9.958346579536021537e-01
1.981639796108009260e-03
2.183702250289827097e-03
# ;
9.970451074618809084e-01
2.203528244794932759e-03
7.513642933241899404e-04
# ;
9.975138811114885318e-01
1.715556970863193033e-03
7.705619176481602692e-04
# ;
9.969469858197439471e-01
2.279963950150596524e-03
7.730502301054383452e-04
# ;
9.966018641143848944e-01
2.643379596999662767e-03
7.547562886154414235e-04
# ;
9.960947390707460825e-01
3.156022107942044706e-03
7.492388213119275915e-04
# ;
9.956701695878349412e-01
3.593040304897670515e-03
7.367901072674004452e-04
# ;
1.698699047989206679e-01
6.602601904021586643e-01
1.698699047989206679e-01
# ;
9.918743232259069620e-01
3.650792338546946045e-03
4.474884435546111483e-03
# ;
3.467687716079700389e-01
3.292363509633086660e-01
3.239948774287212396e-01
# ;
1.890271978312798584e-01
1.687448952826666182e-01
6.422279068860534679e-01
# ;
1.222901881187787032e-01
8.449012556725244982e-01
3.280855620869679162e-02
# ;
1.467327996264688461e-01
3.717007707270946204e-01
4.815664296464365335e-01
# ;
1.802383297279527147e-02
9.756491464358822974e-01
6.327020591322520503e-03
# ;
2.339964767693619371e-02
9.737011096271797062e-01
2.899242695884087992e-03
# ;
1.578164266028458940e-02
9.776084935879052473e-01
6.609863751810113840e-03
# ;
6.833314167145344564e-01
2.952620696086279833e-02
2.871423763246028216e-01
# ;
8.426045255611390727e-01
5.969154133097730880e-02
9.770393310788356989e-02
# ;
6.649423103820664149e-01
2.497278953354400283e-02
3.100849000843896031e-01
# ;
9.522530481358738863e-03
1.033567059856096426e-01
8.871207635330315977e-01
# ;
1.868547219390697678e-01
7.377566903721685110e-01
7.538858768876179062e-02
# ;
9.304367890785604223e-01
1.167851334283171935e-02
5.788469757860777859e-02
# ;
9.263230106608882908e-01
2.462558057313829832e-02
4.905140876597337968e-02
# ;
9.444325374772749582e-01
1.576386608922902485e-02
3.980359643349591636e-02
# ;
8.604633344084201552e-01
3.874691261103292705e-02
1.007897529805469594e-01
# ;
1.085090992583446073e-01
1.850706890962091622e-01
7.064202116454462166e-01
# ;
1.883983170440861610e-02
9.707132873851151977e-01
1.044688091047619311e-02
# ;
3.271866065527791467e-01
6.180771212690889804e-01
5.473627217813194917e-02
# ;
1.781219969518083313e-01
1.462905780705696206e-02
8.072489452411346633e-01
# ;
7.584906881915713939e-01
1.061673211646165516e-01
1.353419906438121101e-01
# ;
8.601541241263026272e-02
7.717600954560792370e-02
8.368085780417617858e-01
# ;
1.634898125061487809e-02
2.211669124337111575e-02
9.615343275060140860e-01
# ;
2.764046318932964486e-01
6.186403091651434538e-01
1.049550589415601115e-01
# ;
7.118625985960895519e-02
9.159499970560823767e-01
1.286374308430861431e-02
# ;
2.794834961107695581e-01
3.850272186873492791e-02
6.820137820204955625e-01
# ;
7.949207313530619601e-01
8.519755806036545531e-02
1.198817105865724875e-01
# ;
9.975663587751565364e-01
1.216820582392900149e-03
1.216820642450557781e-03
# ;
9.960463915386132960e-01
2.029978544719278789e-03
1.923629916667433199e-03
# ;
9.929919113125348362e-01
4.168722066528426570e-03
2.839366620936683867e-03
# ;
9.883958714594545114e-01
7.156768310947607924e-03
4.447360229597939647e-03
# ;
9.846179236281599190e-01
9.646088619335604214e-03
5.735987752504589574e-03
# ;
9.866251524493574454e-01
1.233294187801939855e-02
1.041905672623179248e-03
# ;
9.831785446999613542e-01
1.490987342499146100e-02
1.911581875047099104e-03
# ;
9.841031909656423604e-01
1.430406971885729399e-02
1.592739315500445998e-03
# ;
9.859519478003971882e-01
1.311280295893080781e-02
9.352492406720729588e-04
# ;
6.552574024142271414e-02
8.689485200938442677e-01
6.552573966473304590e-02
# ;
8.142302852271713839e-03
9.857549687346743861e-01
6.102728413053940849e-03
# ;
1.766342668264475266e-02
9.803499605950486417e-01
1.986612722306679759e-03
# ;
3.467635297360759095e-02
9.443875412631894672e-01
2.093610576320279956e-02
# ;
5.114867573891743874e-02
5.096548872182085632e-02
8.978858355392618229e-01
# ;
5.126443618660941198e-02
9.271357821911219155e-01
2.159978162226863785e-02
# ;
6.555674066396043054e-02
9.285606645243611457e-01
5.882594811678421194e-03
# ;
9.798904817794252819e-01
1.004795887748851854e-02
1.006155934308623767e-02
# ;
9.767864941076116470e-01
1.195331511652980919e-02
1.126019077585863060e-02
# ;
9.900477017378744859e-01
8.678351639222971377e-04
9.084463098203357859e-03
# ;
9.965011812272270841e-01
9.557665281017878149e-04
2.543052244671066900e-03
# ;
9.966261914270648781e-01
1.641916965916954052e-03
1.731891607018240086e-03
# ;
9.952293831448409955e-01
2.642054702303409889e-03
2.128562152855640547e-03
# ;
9.966742056027523278e-01
2.263115139685295454e-03
1.062679257562299581e-03
# ;
9.975327889420588789e-01
1.477123406357752243e-03
9.900876515834614033e-04
# ;
9.974613946974834056e-01
1.100491383920343316e-03
1.438113918596126660e-03
# ;
9.965257103628432089e-01
1.644870984451294021e-03
1.829418652705478831e-03
# ;
9.967831423377890854e-01
1.645081031742315434e-03
1.571776630468496409e-03
# ;
9.966584777409188689e-01
2.437381373913194427e-03
9.041408851679404645e-04
# ;
9.955007159314964715e-01
2.671639978845268253e-03
1.827644089658248937e-03
# ;
9.934495385123903732e-01
4.070629837351137301e-03
2.479831650258423111e-03
# ;
9.924337858852781968e-01
6.087127873921185754e-03
1.479086240800694821e-03
# ;
9.925696748256228608e-01
6.507351453708199243e-03
9.229737206689176635e-04
# ;
9.962058530448768545e-01
2.859023469267796529e-03
9.351234858553035241e-04
# ;
9.959358881545318232e-01
2.419814167411489785e-03
1.644297678056634354e-03
# ;
9.964820313065645419e-01
2.082122302304499628e-03
1.435846391130913852e-03
# ;
9.959780329220255801e-01
3.074019510748830699e-03
9.479475672255584977e-04
# ;
9.953591803652911407e-01
3.533086187277806496e-03
1.107733447431225602e-03
# ;
9.969043065375841062e-01
2.151973975648602006e-03
9.437194867672467173e-04
# ;
9.945396763039539012e-01
3.651577956280350080e-03
1.808745739765766714e-03
# ;
9.928966425710710197e-01
4.460099289402305427e-03
2.643258139526683936e-03
# ;
9.934240904535343031e-01
4.922141973428878839e-03
1.653767573036794229e-03
# ;
9.937615895783573627e-01
5.050662621190134087e-03
1.187747800452576899e-03
# ;
1.524677503107459142e-01
6.265339718147120429e-01
2.209982778745420984e-01
# ;
2.457237480420761469e-02
6.187292112512016856e-02
9.135547040706722965e-01
# ;
4.402874279297667309e-02
9.119425178770615981e-01
4.402873932996184680e-02
# ;
9.266604280798022841e-02
8.641307447515322870e-01
4.320321244048749842e-02
# ;
1.243513453087772419e-01
1.243513453087772419e-01
7.512973093824455439e-01
# ;
5.454468495121788697e-03
9.890910630129166048e-01
5.454468491961511102e-03
# ;
1.216946109014493682e-01
8.705821978175117826e-01
7.723191281038853558e-03
# ;
5.014011595627608786e-01
7.423754243868097014e-02
4.243612979985581513e-01
# ;
2.147955928094996692e-02
9.677322151900639158e-01
1.078822552898601322e-02
# ;
2.642623347627302485e-02
9.700374528829917020e-01
