3.042536187612494558e+01
9.983424748046677166e+01
-8.505986905953615462e+01
-5.073068683636766707e+01
-4.193133657787701196e+00
# ;
2.699169792469116302e+01
1.040527349221314211e+02
-7.503597767571565669e+01
1.005350039935411814e+02
-2.130762745929649427e+01
# ;
3.565634356770289770e+01
1.115169170231252735e+02
7.703932787293601336e+01
-8.527265559237302739e+01
-1.966455594112014893e+01
# ;
3.478194175643032082e+01
1.026921631240917776e+02
-1.058728736960000418e+02
-6.966546754704100408e+01
-2.188244069789438484e+01
# ;
3.188298052492617884e+01
1.132591848349721459e+02
1.261166251429679050e+02
-6.509060213795217820e+00
-2.206256586172408518e+01
# ;
3.463419883539746280e+01
1.018413632156834439e+02
-2.233792863000059192e+00
-3.843854168375804292e+00
-4.179132055618960173e+00
# ;
2.876069499211416414e+01
9.729809469381811482e+01
-5.781546275035226223e+00
-3.010775754965792572e+01
3.796912826244980721e+00
# ;
2.916385515258495431e+01
9.284410904269562081e+01
1.109562413300770878e+01
-2.860835464894723756e+01
3.774663164200754650e+00
# ;
2.996450120640185233e+01
9.125265956523215038e+01
1.684354731166159524e+01
-2.572262615853059131e+01
3.709193296203917356e+00
# ;
3.423081283468758329e+01
8.525333429363558935e+01
2.200376402254257613e+01
-1.966718091863629780e+01
1.301409480238571836e+00
# ;
2.979789789651138321e+01
7.651287849340677383e+01
-1.552392259819965581e+01
-7.212542438943594370e+00
-1.826625618152800445e+00
# ;
2.644973656873455781e+01
7.522485560733322529e+01
-3.010931276080856023e+01
-2.454796888305339930e+00
-4.201685140127857210e+00
# ;
2.305954653715046732e+01
7.619201128133784096e+01
-2.731422039360219500e+01
1.389349133661653823e+01
-3.988548350700318768e+00
# ;
2.347515674290740151e+01
7.790019317318336789e+01
-7.702318412547988657e+00
1.126781224976123497e+01
5.212734187038280398e-01
# ;
2.711063293039097388e+01
8.001233428798795444e+01
3.847253710191139930e+00
3.271318417714007332e+00
5.460206733062060724e-01
# ;
2.764811232118101358e+01
7.976599649908767731e+01
3.591088916780255325e+00
9.913710816831124983e-01
4.693327153127032636e-01
# ;
2.862112636040140856e+01
8.004560329377017069e+01
3.456179760509884957e+00
9.709029241840537727e-01
1.857285971771143462e-01
# ;
2.933477398523137580e+01
8.051552837301812815e+01
3.088996841936954230e+00
7.723780624181562082e-01
5.294310220797756594e-01
# ;
2.987867846511648295e+01
8.067145871113611122e+01
5.894475577310409609e-01
2.744755780684211555e+00
2.103271989784063045e+00
# ;
3.011198662446381391e+01
8.018352989054081092e+01
-1.782419826141253827e+00
-3.170607845994843910e-01
1.783749651019964189e+00
# ;
3.066236095873075129e+01
7.962552513299603163e+01
-4.411955563912741685e-01
-1.028832909550064567e+00
4.627927158672552332e-01
# ;
3.127060824564800257e+01
7.918577045997041353e+01
